Timestamp,Frame,Count,FPS,Avg_Confidence
2025-12-29 15:51:33.123,103,2,51.1,0.6
2025-12-29 15:51:33.177,104,1,44.6,0.68
2025-12-29 15:51:33.319,105,0,51.0,0.0
2025-12-29 15:51:33.365,106,1,47.0,0.61
2025-12-29 15:51:33.417,107,1,47.4,0.53
2025-12-29 15:51:33.472,108,1,42.6,0.64
2025-12-29 15:51:33.524,109,1,36.0,0.54
2025-12-29 15:51:33.569,110,2,44.1,0.53
2025-12-29 15:51:33.616,111,1,41.8,0.55
2025-12-29 15:51:33.673,112,0,62.2,0.0
2025-12-29 15:51:33.739,113,1,35.5,0.69
2025-12-29 15:51:33.783,114,3,40.6,0.45
2025-12-29 15:51:33.824,115,2,43.6,0.55
2025-12-29 15:51:33.879,116,0,42.6,0.0
2025-12-29 15:51:33.940,117,0,41.4,0.0
2025-12-29 15:51:33.989,118,2,44.2,0.52
2025-12-29 15:51:34.032,119,2,47.2,0.54
2025-12-29 15:51:34.126,120,1,45.4,0.43
2025-12-29 15:51:34.175,121,2,47.7,0.51
2025-12-29 15:51:34.229,122,3,39.2,0.51
2025-12-29 15:51:34.270,123,1,50.6,0.41
2025-12-29 15:51:34.319,124,1,44.3,0.42
2025-12-29 15:51:34.377,125,2,33.9,0.54
2025-12-29 15:51:34.420,126,1,46.9,0.61
2025-12-29 15:51:34.461,127,0,55.1,0.0
2025-12-29 15:51:34.499,128,1,48.7,0.44
2025-12-29 15:51:34.537,129,1,56.8,0.46
2025-12-29 15:51:34.593,130,2,39.6,0.54
2025-12-29 15:51:34.642,131,1,47.3,0.65
2025-12-29 15:51:34.688,132,2,46.0,0.44
2025-12-29 15:51:34.730,133,2,53.3,0.6
2025-12-29 15:51:34.773,134,2,45.7,0.55
2025-12-29 15:51:34.856,135,1,48.4,0.45
2025-12-29 15:51:34.900,136,3,46.1,0.53
2025-12-29 15:51:34.936,137,3,62.4,0.49
2025-12-29 15:51:34.973,138,2,63.8,0.5
2025-12-29 15:51:35.013,139,2,54.9,0.53
2025-12-29 15:51:35.051,140,3,53.6,0.53
2025-12-29 15:51:35.098,141,2,64.1,0.56
2025-12-29 15:51:35.134,142,2,59.3,0.49
2025-12-29 15:51:35.182,143,2,48.2,0.44
2025-12-29 15:51:35.232,144,2,58.3,0.52
2025-12-29 15:51:35.280,145,2,44.0,0.56
2025-12-29 15:51:35.328,146,2,52.4,0.53
2025-12-29 15:51:35.367,147,2,63.1,0.5
2025-12-29 15:51:35.409,148,3,69.2,0.5
2025-12-29 15:51:35.451,149,2,65.8,0.44
2025-12-29 15:51:35.529,150,3,43.2,0.45
2025-12-29 15:51:35.561,151,2,65.6,0.57
2025-12-29 15:51:35.605,152,3,45.5,0.48
2025-12-29 15:51:35.636,153,2,66.8,0.46
2025-12-29 15:51:35.668,154,0,75.7,0.0
2025-12-29 15:51:35.705,155,1,54.1,0.42
2025-12-29 15:51:35.743,156,1,55.2,0.46
2025-12-29 15:51:35.792,157,0,46.5,0.0
2025-12-29 15:51:35.840,158,0,41.1,0.0
2025-12-29 15:51:35.883,159,1,42.7,0.48
2025-12-29 15:51:35.940,160,1,41.1,0.48
2025-12-29 15:51:35.978,161,1,54.9,0.42
2025-12-29 15:51:36.028,162,0,68.8,0.0
2025-12-29 15:51:36.063,163,0,54.6,0.0
2025-12-29 15:51:36.108,164,0,49.6,0.0
2025-12-29 15:51:36.170,165,0,42.5,0.0
2025-12-29 15:51:36.203,166,1,59.1,0.5
2025-12-29 15:51:36.238,167,0,78.7,0.0
2025-12-29 15:51:36.278,168,1,56.8,0.41
2025-12-29 15:51:36.341,169,1,41.0,0.51
2025-12-29 15:51:36.386,170,1,39.1,0.55
2025-12-29 15:51:36.438,171,1,43.3,0.52
2025-12-29 15:51:36.475,172,1,51.1,0.6
2025-12-29 15:51:36.527,173,1,63.8,0.57
2025-12-29 15:51:36.569,174,1,50.9,0.42
2025-12-29 15:51:36.616,175,1,45.6,0.55
2025-12-29 15:51:36.654,176,1,56.0,0.46
2025-12-29 15:51:36.699,177,1,42.1,0.58
2025-12-29 15:51:36.741,178,1,52.8,0.63
2025-12-29 15:51:36.776,179,1,56.6,0.63
2025-12-29 15:51:36.856,180,1,63.8,0.62
2025-12-29 15:51:36.899,181,3,63.6,0.48
2025-12-29 15:51:36.937,182,3,59.5,0.45
2025-12-29 15:51:36.982,183,1,48.4,0.56
2025-12-29 15:51:37.029,184,2,44.4,0.45
2025-12-29 15:51:37.070,185,1,44.5,0.43
2025-12-29 15:51:37.106,186,0,65.3,0.0
2025-12-29 15:51:37.154,187,1,46.5,0.5
2025-12-29 15:51:37.205,188,1,39.7,0.58
2025-12-29 15:51:37.246,189,1,43.2,0.44
2025-12-29 15:51:37.292,190,1,48.1,0.46
2025-12-29 15:51:37.335,191,1,37.7,0.48
2025-12-29 15:51:37.379,192,1,42.7,0.51
2025-12-29 15:51:37.431,193,1,38.2,0.48
2025-12-29 15:51:37.473,194,2,40.9,0.48
2025-12-29 15:51:37.607,195,1,35.8,0.49
2025-12-29 15:51:37.652,196,0,51.6,0.0
2025-12-29 15:51:37.700,197,0,54.0,0.0
2025-12-29 15:51:37.743,198,0,55.1,0.0
2025-12-29 15:51:37.795,199,2,37.2,0.63
2025-12-29 15:51:37.842,200,1,37.7,0.74
2025-12-29 15:51:37.888,201,2,45.7,0.59
2025-12-29 15:51:37.938,202,2,46.8,0.57
2025-12-29 15:51:37.988,203,1,47.2,0.77
2025-12-29 15:51:38.046,204,3,31.0,0.66
2025-12-29 15:51:38.083,205,1,61.2,0.77
2025-12-29 15:51:38.128,206,2,47.7,0.5
2025-12-29 15:51:38.172,207,1,51.7,0.41
2025-12-29 15:51:38.225,208,1,42.5,0.52
2025-12-29 15:51:38.277,209,1,35.7,0.51
2025-12-29 15:51:38.348,210,1,48.8,0.4
2025-12-29 15:51:38.390,211,1,67.3,0.58
2025-12-29 15:51:38.428,212,1,52.8,0.49
2025-12-29 15:51:38.477,213,1,47.9,0.53
2025-12-29 15:51:38.520,214,1,62.4,0.42
2025-12-29 15:51:38.561,215,1,59.2,0.48
2025-12-29 15:51:38.605,216,2,45.4,0.53
2025-12-29 15:51:38.663,217,2,38.1,0.52
